-0.5857,-0.1721,-1.9692,0.1825,-0.6816
-0.1615,0.8085,-0.0867,-0.4585,0.5809
-0.9247,-0.164,-0.8774,-1.882,-0.2274
-0.1998,-1.2044,-0.7381,0.8878,0.0452
0.2943,-0.6354,0.1965,-0.4527,0.9281
1.5581,-0.2188,0.1017,0.137,0.6804
0.3015,0.465,-0.0263,-0.8546,-0.6487
-0.018,0.6947,1.1589,-0.7704,-0.9468
0.421,0.833,0.5135,-0.3954,-0.0414
-1.2312,-0.0836,1.8261,-0.4918,0.6331
-2.0959,0.1545,1.6828,-0.6466,2.0408
-1.2742,-0.0833,1.4435,0.1686,-0.2762
-0.9553,0.6655,-0.1942,0.2368,-0.4366
0.2897,-1.0429,-0.1816,0.0549,0.0154
1.5869,-0.9396,0.6755,-0.5458,0.2878
1.7439,-0.7429,1.4104,0.4918,0.4716
1.3366,0.1163,0.5495,1.7068,-0.7037
0.8297,0.5595,-0.0593,0.8312,-0.774
1.0065,1.8085,-1.5468,-0.9935,-0.4304
1.2799,1.3554,-0.4893,-0.8799,-0.8325
0.9638,0.0964,-1.9408,-0.4531,-1.5187
-1.4738,0.9767,-1.2959,0.0063,-1.4785
0.0449,-0.3454,-1.5836,-0.3133,-0.1157
0.7348,-1.0379,-2.2188,-0.6992,-1.6018
0.659,-1.4341,-0.6823,0.265,-1.2037
-1.4771,-2.4381,-1.1819,0.8914,-0.2925
-0.769,-1.3346,0.0662,1.7685,-0.314
-0.9588,-0.3821,-1.5915,0.2926,0.079
0.1927,-0.7001,-0.8625,1.2713,-0.0456
-0.356,-0.2018,0.089,0.6841,-0.6282
0.2616,0.442,-0.5379,1.7285,-0.1077
-0.4935,-0.8443,-0.7053,-0.2401,-0.6622
-0.8605,-0.5901,-0.2386,-0.1465,-0.7878
0.4636,0.5971,0.1367,-0.5403,0.117
-0.97,-0.3375,1.0818,-0.9738,-0.3025
-0.9482,1.022,-0.8937,-0.5601,-1.1491
0.0181,-0.2107,-0.4728,0.4592,-0.5461
0.154,0.3404,-1.4673,-0.0397,1.2092
-0.3717,1.2985,0.2199,0.1447,-0.9366
-1.269,1.4844,-1.4101,-1.0513,-0.324
-0.6081,0.8252,-0.1695,-0.9244,0.4381
-0.9596,0.9913,0.2053,0.1759,-0.1737
-1.4217,0.875,-1.5888,-1.0973,-0.8195
-1.1129,-0.0672,-1.4564,-0.5734,0.2975
-1.4969,0.4849,-0.6079,-1.9918,0.9278
0.4659,1.037,-1.9524,-0.9889,-2.09
0.4144,0.295,-1.3248,-1.208,-0.1837
0.7123,0.0069,-0.4023,-1.4132,-0.3013
0.5209,-0.8388,0.3282,-1.8288,-0.6355
0.1431,1.11,0.7713,0.3533,0.6221
0.5615,1.0321,0.9253,1.0271,-2.6943
0.1288,0.848,-1.077,1.4409,-0.7101
0.326,-0.2211,0.1138,1.2363,-0.6691
0.0133,-0.6223,-0.9254,1.3994,-0.1302
0.4766,0.3395,-0.8695,0.9395,-0.307
0.0069,0.239,-0.7918,-0.5738,-0.7364
-0.4866,0.8125,-0.5556,-0.1921,-1.9344
-0.0821,0.7145,-0.4891,0.6147,-0.3659
0.248,-0.4155,0.1766,1.4921,-0.1649
-0.7759,-1.8652,-0.3128,0.913,0.4643
0.5908,-0.7907,0.1,-2.2858,-0.0203
-0.9354,0.6689,0.0796,-0.6697,-1.1834
-0.0985,0.3127,-0.3222,-1.1706,-1.2031
-0.3941,0.2772,0.6995,0.6905,0.3058
-1.5705,0.0317,0.3734,-1.0234,0.3414
1.5889,-0.0984,-0.7626,1.3127,-1.9734
0.8699,0.6302,-1.0514,0.3252,-0.9326
0.8648,0.2577,-0.9353,0.2255,-1.5005
1.1892,-0.4718,0.2078,-0.6572,-1.767
0.7806,-0.3845,-0.6749,-0.4941,-0.8043
1.2331,-1.4003,-1.0843,-0.444,-0.85
0.6601,-0.3627,-0.3925,-0.621,0.1927
1.937,-0.2978,-0.3209,-0.0626,0.7206
0.8282,-0.3421,0.1571,0.8024,-0.0574
1.1411,-0.3281,-0.8972,-0.5568,-0.8743
1.7252,0.4051,-0.306,-0.357,0.2541
1.3167,-0.2165,-0.0736,-0.0392,-0.5181
0.2758,0.5345,0.8356,-1.1432,-1.3855
0.9449,-0.258,-0.841,-1.2649,-0.4102
-0.1332,0.5261,-0.709,-0.9859,-0.0504
0.2475,-1.2144,-0.5494,-1.5908,-2.1931
0.2201,0.2015,-0.4367,0.3754,-0.2544
0.761,0.0306,0.755,-0.6967,-0.1767
-0.4002,-1.0754,0.437,0.7034,0.9312
1.0887,-0.4639,0.1164,0.5399,0.2559
1.2898,-1.5926,0.2332,-0.1075,-0.2439
1.3219,1.3059,0.1311,1.0489,0.1801
0.2704,0.5961,1.7217,-0.5235,0.9957
0.5428,2.2745,0.1647,-0.3999,2.2694
0.7924,1.2535,1.4055,-1.3601,0.8117
-1.2105,0.5575,-0.5282,0.2805,1.2295
-0.0049,1.0271,-1.1746,-1.547,1.7582
0.1944,-1.1158,-2.5226,-2.2857,1.8007
-0.3859,0.7086,-2.1341,0.3066,1.0384
-0.5367,1.2786,-1.3463,-1.0298,-0.2944
0.4016,1.5188,0.2176,-1.8904,-1.1063
-0.8307,1.3991,0.9052,-0.5074,0.3772
0.6924,0.192,-1.3929,-1.2329,1.5093
0.8325,0.0662,1.0149,0.3671,1.5767
0.3042,0.0032,2.1047,0.9547,-0.1563
-0.0976,-0.455,0.6837,-0.7068,0.0348
0.0665,0.696,-0.5133,-0.0873,0.0401
0.3765,0.0749,-0.3561,0.4905,1.0676
-0.6279,-0.8253,-0.4415,0.1275,2.8355
0.1665,0.2013,-2.2326,1.7184,1.8682
0.5556,0.7934,0.4949,-0.0137,1.7644
0.4227,2.0947,-0.3547,-0.9388,0.2763
1.0663,3.2319,-0.6307,0.3696,-0.2995
0.5794,1.0694,0.4576,-0.8936,0.0005
-0.234,1.634,-0.4385,-1.0763,-0.5174
0.1784,2.5339,-1.6981,0.0371,0.7495
0.5183,2.1261,-2.3423,-0.92,1.175
-0.3669,2.1921,-0.1253,0.8137,0.4964
0.1153,0.9263,0.9521,0.3169,1.7263
-0.4953,0.935,0.077,-0.5391,0.5403
1.4682,0.6293,0.8362,-0.1675,1.1323
1.7516,0.8349,-0.3806,-0.1202,0.5332
2.156,0.7909,-1.435,-1.3164,-0.1514
1.6839,0.4955,0.2059,0.5077,-0.7974
2.2991,-0.8467,0.4099,-0.1737,2.3947
1.1072,-0.6267,0.526,2.4161,0.3364
0.4076,-0.1694,-0.6383,0.5491,-0.4868
-0.0739,-0.3253,-0.5596,0.7765,0.0725
-0.7132,-0.2466,-0.8446,1.1273,-0.2327
0.1391,0.1902,-1.1411,1.1223,-1.3291
0.1212,0.4822,-0.7459,1.3209,-0.2106
0.847,-0.2795,-0.5113,1.2919,0.5643
1.1273,0.5452,-0.9991,0.6882,0.4204
-0.0699,0.3889,-0.4606,0.9479,0.3187
-0.8688,-1.2476,-1.0208,0.21,-0.0479
-1.344,0.4012,-2.0899,1.0003,-0.5196
0.0489,-0.7005,-0.2892,0.2056,-0.0382
0.8869,-0.8238,0.7373,1.1345,0.2442
-0.2609,-0.976,0.4608,1.2261,0.9596
-1.7232,-0.0354,-1.5666,-0.6945,1.2353
-1.2586,1.0957,0.0211,-0.549,1.9723
-0.9623,-0.6977,1.4781,0.6103,1.6052
-1.3488,-0.25,-0.7514,0.356,1.411
-0.5676,-0.6869,-1.7996,0.9635,1.7844
0.3691,0.2005,-0.8011,-0.3962,0.1728
0.3835,-0.4357,-0.1034,-0.3677,-1.8614
-0.4236,-0.2874,0.3488,0.2216,-1.5782
0.1976,0.6894,-1.0023,0.4123,-0.093
-1.1145,-0.9168,1.2056,-0.8555,-1.0778
-0.889,-1.6128,0.7593,-0.347,0.2931
0.2297,-0.3921,-0.3006,0.5376,0.388
-0.0656,-0.0639,0.2962,0.5429,-1.13
-0.5043,-0.5,-0.129,-0.4641,0.2008
-0.1161,-1.9149,1.0155,-1.1594,-2.3595
0.4177,-0.1399,0.1468,-1.5661,1.3142
-1.0859,-0.4398,0.2469,-0.0141,-1.3439
-0.0041,-1.6332,-1.0402,-0.2896,-0.164
0.4226,-1.0429,1.1907,0.3407,0.0162
-0.4637,0.1719,1.5205,0.9601,-0.1072
